res_id,gender,age,MateComp.cont,hate_violence_means,hate_pol_message,hate_prevent_settlement,hate_polcondemn
473894947,Male,37,3,3,2,3,3
473894247,Male,68,1,1,1,1,2
447558943,Female,57,2,2,3,3,4
423478141,Female,51,2,2,2,2,2
457498045,Female,65,1,2,2,2,2
484369240,Female,46,1,1,1,1,1
454484240,Female,50,1,1,1,1,1
481371146,Female,26,1,4,3,3,3
491911846,Female,48,2,4,3,4,3
414894146,Male,53,1,1,1,1,1
461216742,Male,19,3,4,2,3,1
407571943,Male,33,4,3,3,3,3
463580748,Female,63,3,2,3,3,3
477213449,Female,32,2,3,3,3,3
457458543,Female,35,2,3,2,1,2
487602445,Male,47,3,2,2,3,3
403731544,Female,53,1,1,1,1,3
483971641,Male,78,3,2,2,2,1
457053047,Female,26,3,3,2,2,2
457599746,Male,66,1,1,1,1,1
407502446,Female,51,1,1,1,1,2
491230941,Female,53,1,1,2,2,3
491017440,Female,62,1,2,1,1,2
493787745,Female,64,2,1,1,1,2
481724247,Female,61,1,1,1,1,1
447915343,Male,63,1,1,1,1,2
401923348,Female,52,1,1,1,1,1
473894843,Male,57,3,2,2,3,3
487278747,Female,29,1,4,3,2,3
474430249,Female,60,1,1,1,1,1
483171940,Female,62,1,1,1,1,2
487008740,Female,35,1,1,1,1,1
457175448,Male,45,1,1,1,1,1
477392143,Female,54,3,1,1,1,1
417293743,Female,43,4,1,1,1,1
411753940,Female,52,2,1,1,1,1
463774549,Female,39,2,1,1,1,1
497309040,Female,56,1,2,1,1,1
493787144,Female,59,1,1,1,1,2
467720845,Female,31,1,3,3,3,3
461811645,Female,30,1,1,1,1,2
441634347,Female,43,1,1,1,2,3
441971344,Female,24,2,1,1,1,1
454512245,Male,47,2,2,1,1,2
444804745,Male,36,2,2,1,1,1
464519144,Female,56,1,1,1,1,1
437607249,Male,34,2,2,2,2,2
